ancestry_label,people,people_in_snap_hh,rate
Turkestani,34868.0,4680.0,0.13422048870024092
Pakistani,464956.0,61554.0,0.13238672046387184
Guamanian,21389.0,2806.0,0.1311889288886811
United States,723609.0,94563.0,0.13068245419833086
American,15094222.0,1961215.0,0.12993150624126237
Uncodable entries,9368963.0,1206160.0,0.1287399683401461
Punjabi,64877.0,8340.0,0.12855095025972224
Chilean,122583.0,15608.0,0.12732597505363713
Colombian,1043988.0,126082.0,0.12076958738989337
Fijian,26542.0,3179.0,0.11977243613894958
Gambian,22084.0,2640.0,0.11954356094910343
Sicilian,132341.0,15797.0,0.1193658805661133
Antigua and Barbuda,10618.0,1264.0,0.11904313430024487
Malaysian,32039.0,3739.0,0.11670152002247261
Costa Rican,91412.0,10643.0,0.11642891524088742
Mongolian,31557.0,3640.0,0.11534683271540387
Dutch West Indian,11447.0,1320.0,0.11531405608456365
Belorussian,64162.0,7366.0,0.11480315451513357
Montenegrin,13398.0,1501.0,0.11203164651440513
Iranian,478922.0,53079.0,0.11083015605881542
Indonesian,72273.0,7976.0,0.11035933197736361
Mixture,1301712.0,142809.0,0.10970859913713632
Uruguayan,32675.0,3567.0,0.10916602907421576
Nigerian,687105.0,74889.0,0.10899207544698408
Appalachian,15689.0,1707.0,0.10880234559245332
Cameroonian,69145.0,7519.0,0.10874249764986622
Celtic,30327.0,3287.0,0.1083852672536024
Filipino,2750329.0,297287.0,0.10809143197050244
Other responses,1205568.0,129559.0,0.1074671855921856
Venezuelan,544119.0,57767.0,0.1061661143977696
Cajun,79542.0,8288.0,0.10419652510623319
East Indian,50923.0,5268.0,0.10345030732674823
Hungarian,708706.0,73164.0,0.10323603863943581
Chinese,3622047.0,371310.0,0.10251385473462934
Portuguese,927339.0,94554.0,0.10196271266494777
Slavic,83042.0,8381.0,0.10092483321692637
Texas,53268.0,5286.0,0.09923406172561387
Togo,27486.0,2681.0,0.09754056610638143
Sri Lankan,66829.0,6468.0,0.09678433015606996
Pennsylvania German,182919.0,17594.0,0.09618465003635489
Anglo,190013.0,18197.0,0.09576713172256635
French,3334912.0,318843.0,0.09560762023105857
Russian,1349591.0,128979.0,0.0955689538534267
Ghanaian,207147.0,19676.0,0.09498568649316669
Central American Indian,73589.0,6968.0,0.09468806479229233
North American,25683.0,2430.0,0.09461511505665227
Prussian,33117.0,3117.0,0.09412084427937313
Brazilian,526350.0,49444.0,0.09393749406288592
North African,18020.0,1690.0,0.09378468368479467
Lebanese,437589.0,40602.0,0.09278569616695118
Hong Kong,29668.0,2736.0,0.09222057435620871
Turkish,217581.0,19868.0,0.0913131201713385
Senegalese,35458.0,3204.0,0.09036042641998984
Moldavian,30898.0,2789.0,0.09026474205450191
Yugoslavian,52461.0,4716.0,0.08989535083204667
Irish Scotch,1054027.0,93211.0,0.08843321850389031
Irish,18341138.0,1601914.0,0.08733994586377355
Korean,1406606.0,121542.0,0.0864079920034466
French Canadian,1114189.0,93477.0,0.08389689720505228
Other Asian,22679.0,1828.0,0.08060320119934741
Other Arab,21655.0,1720.0,0.07942738397598707
Italian,11904159.0,939176.0,0.07889477954721538
Thai,212572.0,16736.0,0.07873097115330335
Bohemian,91570.0,7135.0,0.07791853227039423
Greek,893413.0,69598.0,0.07790126179045972
Welsh,695745.0,52970.0,0.07613421584057377
Scotch Irish,1708139.0,128556.0,0.07526085406398425
Saudi Arabian,13826.0,1037.0,0.07500361637494575
