ancestry_code,people,people_in_snap_hh,rate,ancestry_label
314,201237.0,30981.0,0.15395280192012403,Trinidadian Tobagonian
541,75597.0,11157.0,0.1475852216357792,Liberian
237,499436.0,73348.0,0.14686165995242634,Peruvian
249,29415.0,4289.0,0.14580996090430054,South American
924,10053988.0,1460355.0,0.1452513171887613,White
400,28872.0,4174.0,0.1445691327237462,Algerian
598,35158.0,5013.0,0.14258490244041186,Western African
100,201326.0,28291.0,0.14052333031997855,Albanian
795,864623.0,120789.0,0.13970134960555064,Asian
236,15921.0,2188.0,0.13742855348282143,Paraguayan
914,19572.0,2677.0,0.13677702840792968,South American Indian
329,33811.0,4600.0,0.1360503977995327,Grenadian
168,34868.0,4680.0,0.13422048870024092,Turkestani
680,464956.0,61554.0,0.13238672046387184,Pakistani
821,21389.0,2806.0,0.1311889288886811,Guamanian
940,723609.0,94563.0,0.13068245419833086,United States
939,15094222.0,1961215.0,0.12993150624126237,American
996,9368963.0,1206160.0,0.1287399683401461,Uncodable entries
650,64877.0,8340.0,0.12855095025972224,Punjabi
233,122583.0,15608.0,0.12732597505363713,Chilean
234,1043988.0,126082.0,0.12076958738989337,Colombian
841,26542.0,3179.0,0.11977243613894958,Fijian
527,22084.0,2640.0,0.11954356094910343,Gambian
68,132341.0,15797.0,0.1193658805661133,Sicilian
325,10618.0,1264.0,0.11904313430024487,Antigua and Barbuda
770,32039.0,3739.0,0.11670152002247261,Malaysian
221,91412.0,10643.0,0.11642891524088742,Costa Rican
712,31557.0,3640.0,0.11534683271540387,Mongolian
310,11447.0,1320.0,0.11531405608456365,Dutch West Indian
102,64162.0,7366.0,0.11480315451513357,Belorussian
131,13398.0,1501.0,0.11203164651440513,Montenegrin
416,478922.0,53079.0,0.11083015605881542,Iranian
730,72273.0,7976.0,0.11035933197736361,Indonesian
995,1301712.0,142809.0,0.10970859913713632,Mixture
238,32675.0,3567.0,0.10916602907421576,Uruguayan
553,687105.0,74889.0,0.10899207544698408,Nigerian
927,15689.0,1707.0,0.10880234559245332,Appalachian
508,69145.0,7519.0,0.10874249764986622,Cameroonian
99,30327.0,3287.0,0.1083852672536024,Celtic
720,2750329.0,297287.0,0.10809143197050244,Filipino
998,1205568.0,129559.0,0.1074671855921856,Other responses
239,544119.0,57767.0,0.1061661143977696,Venezuelan
937,79542.0,8288.0,0.10419652510623319,Cajun
620,50923.0,5268.0,0.10345030732674823,East Indian
125,708706.0,73164.0,0.10323603863943581,Hungarian
706,3622047.0,371310.0,0.10251385473462934,Chinese
84,927339.0,94554.0,0.10196271266494777,Portuguese
178,83042.0,8381.0,0.10092483321692637,Slavic
983,53268.0,5286.0,0.09923406172561387,Texas
586,27486.0,2681.0,0.09754056610638143,Togo
690,66829.0,6468.0,0.09678433015606996,Sri Lankan
929,182919.0,17594.0,0.09618465003635489,Pennsylvania German
925,190013.0,18197.0,0.09576713172256635,Anglo
26,3334912.0,318843.0,0.09560762023105857,French
148,1349591.0,128979.0,0.0955689538534267,Russian
529,207147.0,19676.0,0.09498568649316669,Ghanaian
913,73589.0,6968.0,0.09468806479229233,Central American Indian
994,25683.0,2430.0,0.09461511505665227,North American
40,33117.0,3117.0,0.09412084427937313,Prussian
360,526350.0,49444.0,0.09393749406288592,Brazilian
411,18020.0,1690.0,0.09378468368479467,North African
425,437589.0,40602.0,0.09278569616695118,Lebanese
716,29668.0,2736.0,0.09222057435620871,Hong Kong
434,217581.0,19868.0,0.0913131201713385,Turkish
564,35458.0,3204.0,0.09036042641998984,Senegalese
146,30898.0,2789.0,0.09026474205450191,Moldavian
176,52461.0,4716.0,0.08989535083204667,Yugoslavian
94,1054027.0,93211.0,0.08843321850389031,Irish Scotch
